Repetition,1,2,3,4,5
1,7.76,75.58,6.6,6.67,0.5
2,7.26,8.75,73.6,0.85,7.32
3,11.48,76.17,8.3,20.94,0.45
4,6.72,6.16,8.11,1.67,9.23
5,46.32,12.3,8.11,0,21.35
6,5,10.3,74.27,1.89,1.5
7,8.91,7.09,74.27,1.57,20.5
8,10.12,75.1,4.27,22.15,4.5
9,8.85,9.83,5.6,2.96,0
10,4.93,75.1,77.45,6.5,7.45
11,11.73,77.2,77.14,4.64,2.44
12,20.01,75.91,3.6,18.83,2.29
13,7.94,74.45,74.43,0,4.17
14,5.56,15.7,76.27,1,2.03
15,4.53,4.45,11.11,2.13,2.39
16,5.21,79.28,4.27,32.75,7.95
17,7.66,112.6,5.45,40.76,4.5
18,5.62,11.6,74.27,5.17,0.3
19,8.54,78.98,4.77,3.5,1.54
20,4.48,44.1,8.11,0.6,8.55
21,5,115.82,8.11,0.6,27.32
22,5.15,74.2,74.27,0.65,0.25
23,3.6,8.06,3.6,0,17.86
24,6.76,4.84,4.27,5.5,26.24
25,59.7,73.98,75.6,4.5,6.89
26,5.63,4.4,74.27,0.43,0.85
27,9.3,5.7,74.27,10.67,2.33
28,5.53,8.56,7.45,28.44,3.85
29,7.93,16.18,74.16,26.19,0.67
30,7.03,8.85,78.01,20.91,9.1
31,5.08,9.57,7.45,4.29,30.76
32,5.73,3.79,5.6,3,2.5
33,5.23,80.24,8.11,5.81,0.89
34,4.87,5.27,4.27,23.74,7.13
35,5.06,5.84,4.27,8.72,7.19
36,9.82,5.43,5.27,0,0.17
37,9.31,5.72,8.78,3,14.83
38,5.77,78.11,3.85,0.29,1.5
39,46.75,114.91,8.3,0,4
40,8.99,78.91,7.45,0.29,1.8
average,10.52175,40.97575,30.434,8.04025,6.87725
